period,seriesId,seriesDescription,stateId/0,stateDescription,value,unit
2019,TERCB,Total energy consumption in the residential sector,CO,Colorado,350409,Billion Btu
2020,HYCCP,Hydroelectricity net generation in the commercial sector,CO,Colorado,15,Million kilowatthours
2020,HYEGP,Hydroelectricity net generation in the electric power sector,CO,Colorado,1654,Million kilowatthours
2021,DFRCB,Distillate fuel oil consumed by the residential sector,CO,Colorado,131,Billion Btu
2021,DFTXD,"Distillate fuel oil average price, all end-use sectors",CO,Colorado,22.35,Dollars per million Btu
2021,HLCCD,Hydrocarbon gas liquids price in the commercial sector,CO,Colorado,18.07,Dollars per million Btu
2019,LOTXB,Total electrical system energy losses allocated to the end-use sectors,CO,Colorado,301313,Billion Btu
2021,GEGBP,Geothermal generating units net summer capacity in all sectors,CO,Colorado,0,Thousand kilowatts
2021,DFCCB,Distillate fuel oil consumed by the commercial sector,CO,Colorado,4784,Billion Btu
2021,OHICB,Other hydrocarbon gas liquids (other than propane) consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,PQRCD,Propane price in the residential sector,CO,Colorado,23.98,Dollars per million Btu
2020,WYTXP,Wind energy total end-use net generation,CO,Colorado,3,Million kilowatthours
2021,RFSCB,Residential fuel oil total consumption excluding process fuel,CO,Colorado,0,Billion Btu
2019,DKEIV,Distillate fuel oil (including kerosene-type jet fuel before 2001) expenditures in the electric power sector,CO,Colorado,2,Million dollars
2019,LORCB,The residential sector's share of electrical system energy losses,CO,Colorado,103447,Billion Btu
2019,TEACB,Total energy consumption in the transportation sector,CO,Colorado,460452,Billion Btu
2021,DFTCP,Distillate fuel oil total consumption,CO,Colorado,21898,Thousand barrels
2019,TETXB,Total end-use sector energy consumption,CO,Colorado,1484405,Billion Btu
2020,GEEGP,Geothermal electricity net generation in the electric power sector,CO,Colorado,0,Million kilowatthours
2021,RFICB,Residual fuel oil consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,DFEIV,Distillate fuel oil expenditures in the electric power sector,CO,Colorado,7,Million dollars
2021,DFTCB,Distillate fuel oil total consumption,CO,Colorado,126223,Billion Btu
2019,PESCB,"Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,1282740,Billion Btu
2019,PERCV,Primary energy total expenditures in the residential sector,CO,Colorado,1452.9,Million dollars
2021,HYEGB,Hydropower consumed for electricity generation by the electric power sector,CO,Colorado,5406,Billion Btu
2021,RFTXD,"Residual fuel oil average price, all end-use sectors",CO,Colorado,0,Dollars per million Btu
2021,DFICB,Distillate fuel oil consumed by the industrial sector,CO,Colorado,26438,Billion Btu
2021,DFEIB,Distillate fuel oil consumed by the electric power sector,CO,Colorado,379,Billion Btu
2019,TETCV,Total energy expenditures,CO,Colorado,18751.4,Million dollars
2019,TNICB,End-use energy consumption in the industrial sector,CO,Colorado,318184,Billion Btu
2020,HYTCB,Hydropower total consumption,CO,Colorado,5693,Billion Btu
2021,PEEIV,Primary energy total expenditures in the electric power sector,CO,Colorado,1354.6,Million dollars
2019,TETGR,Total energy consumption per dollar of real gross domestic product (GDP),CO,Colorado,3.86,Thousand Btu per chained (2017) dollar
2019,TNISB,"Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,212554,Billion Btu
2021,DFTXP,Distillate fuel oil total end-use consumption,CO,Colorado,21833,Thousand barrels
2021,RFCCB,Residual fuel oil consumed by the commercial sector,CO,Colorado,0,Billion Btu
2019,TEICB,Total energy consumption in the industrial sector,CO,Colorado,402899,Billion Btu
2019,TEACD,Total energy average price in the transportation sector,CO,Colorado,20.53,Dollars per million Btu
2021,DFRCD,Distillate fuel oil price in the residential sector,CO,Colorado,18.27,Dollars per million Btu
2021,DFACD,Distillate fuel oil price in the transportation sector,CO,Colorado,23.74,Dollars per million Btu
2021,KSRCD,Kerosene price in the residential sector,CO,Colorado,22.73,Dollars per million Btu
2021,PQTCP,Propane total consumption,CO,Colorado,4656,Thousand barrels
2019,LOCCB,The commercial sector's share of electrical system energy losses,CO,Colorado,112544,Billion Btu
2019,GDPRX,Real gross domestic product (GDP),CO,Colorado,383725.6,Million chained (2017) dollars
2021,RFACD,Residual fuel oil price in the transportation sector,CO,Colorado,0,Dollars per million Btu
2021,RFCCP,Residual fuel oil consumed by the commercial sector,CO,Colorado,0,Thousand barrels
2019,PERSB,"Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,173023,Billion Btu
2021,KSTCP,Kerosene total consumption,CO,Colorado,2,Thousand barrels
2021,HLTXP,Hydrocarbon gas liquids total end-use consumption,CO,Colorado,4656,Thousand barrels
2021,BQTCP,Normal butane total consumption,CO,Colorado,0,Thousand barrels
2021,PQISB,Propane consumed in the industrial sector excluding refinery fuel,CO,Colorado,2316,Billion Btu
2021,PLICB,Plant condensate consumed by the industrial sector (through 1983),CO,Colorado,0,Billion Btu
2021,EYICP,Ethylene from refineries consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2021,RFTCB,Residual fuel oil total consumption,CO,Colorado,0,Billion Btu
2021,PQRCP,Propane consumed by the residential sector,CO,Colorado,3073,Thousand barrels
2021,HLISB,Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,CO,Colorado,2316,Billion Btu
2021,HLICV,Hydrocarbon gas liquids expenditures in the industrial sector,CO,Colorado,40.4,Million dollars
2019,PEACD,Primary energy average price in the transportation sector,CO,Colorado,20.53,Dollars per million Btu
2019,PATPB,All petroleum products total consumption per capita,CO,Colorado,95.5,Million Btu
2021,HLTXB,Hydrocarbon gas liquids total end-use consumption,CO,Colorado,17884,Billion Btu
2019,TEIPB,Total energy consumption per capita in the industrial sector,CO,Colorado,70,Million Btu
2019,PEEID,Primary energy average price in the electric power sector,CO,Colorado,2.22,Dollars per million Btu
2021,OHICD,Other hydrocarbon gas liquids (other than propane) price in the industrial sector,CO,Colorado,0,Dollars per million Btu
2021,NAICB,Natural gasoline consumed by the industrial sector (through 1983),CO,Colorado,0,Billion Btu
2021,BQTCB,Normal butane total consumption,CO,Colorado,0,Billion Btu
2021,EYTCB,Ethylene from refineries total consumption,CO,Colorado,0,Billion Btu
2019,TERFB,Total energy used as refinery fuel and intermediate products,CO,Colorado,18822,Billion Btu
2020,HYICB,Hydropower consumed by the industrial sector,CO,Colorado,0,Billion Btu
2019,PETXD,"Primary energy average price, all end-use sectors",CO,Colorado,15.06,Dollars per million Btu
2019,NGTPP,Natural gas total consumption (including supplemental gaseous fuels) per capita,CO,Colorado,89.3,Thousand cubic feet
2019,TNRCB,End-use energy consumption in the residential sector,CO,Colorado,246962,Billion Btu
2020,WYTCP,Wind electricity total net generation,CO,Colorado,13386,Million kilowatthours
2019,DKEIP,Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector,CO,Colorado,20,Thousand barrels
2020,WYCCP,Wind electricity net generation in the commercial sector,CO,Colorado,0,Million kilowatthours
2020,GETCB,Geothermal energy total consumption,CO,Colorado,759,Billion Btu
2020,SOCCB,Solar energy consumed by the commercial sector,CO,Colorado,822,Billion Btu
2019,TPOPP,Resident population including Armed Forces,CO,Colorado,5758,Thousand
2019,TNCSB,"Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,156752,Billion Btu
2020,SOTCB,Solar energy total consumption,CO,Colorado,7813,Billion Btu
2021,PYICP,Propylene from refineries consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2021,PQACP,Propane consumed by the transportation sector,CO,Colorado,60,Thousand barrels
2020,GEICB,Geothermal energy consumed by the industrial sector,CO,Colorado,266,Billion Btu
2020,WYCCB,Wind energy consumed by the commercial sector,CO,Colorado,0,Billion Btu
2020,GEEGB,Geothermal energy consumed for electricity generation by the electric power sector,CO,Colorado,0,Billion Btu
2021,HLTCV,Hydrocarbon gas liquids total expenditures,CO,Colorado,392.5,Million dollars
2019,ESTPP,Electricity total consumption (electricity sales to ultimate customers) per capita,CO,Colorado,9815,Kilowatthours
2019,ESRPP,Electricity consumed by (sales to ultimate customers in) the residential sector per capita,CO,Colorado,3370,Kilowatthours
2020,HYCCB,Hydropower consumed by the commercial sector,CO,Colorado,50,Billion Btu
2019,DKEID,Distillate fuel oil (including kerosene-type jet fuel before 2001) average price in the electric power sector,CO,Colorado,17.67,Dollars per million Btu
2021,PCTCV,Petroleum coke total expenditures,CO,Colorado,0,Million dollars
2021,P5RFB,Other petroleum products consumed as refinery fuel and intermediate products,CO,Colorado,8534,Billion Btu
2021,BYICB,Butylene from refineries consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,HLCCB,Hydrocarbon gas liquids consumed by the commercial sector,CO,Colorado,3535,Billion Btu
2021,FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector (through 1985)",CO,Colorado,0,Million dollars
2019,BOPRP,Other biofuels total production for the United States,CO,Colorado,0,Thousand barrels
2019,BOPRB,Other biofuels total production for the United States,CO,Colorado,0,Billion Btu
2021,COICP,Crude oil consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2021,BFPRB,"Biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products",CO,Colorado,19206,Billion Btu
2021,WYTXB,Wind energy total end-use consumption,CO,Colorado,10,Billion Btu
2021,ABICB,Aviation gasoline blending components consumed by the industrial sector,CO,Colorado,-5,Billion Btu
2021,WXICB,Waxes consumed by the industrial sector,CO,Colorado,113,Billion Btu
2021,PCTXB,Petroleum coke total end-use consumption,CO,Colorado,2232,Billion Btu
2021,OPTXV,Other petroleum products total end-use expenditures,CO,Colorado,11.4,Million dollars
2020,FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401? F, expenditures in the industrial sector",CO,Colorado,0,Million dollars
2021,FNICV,"Petrochemical feedstocks, naphtha less than 401? F, expenditures in the industrial sector",CO,Colorado,0,Million dollars
2021,OPICB,Other petroleum products consumed by the industrial sector,CO,Colorado,8991,Billion Btu
2021,OPICD,Other petroleum products average price in the industrial sector,CO,Colorado,24.97,Dollars per million Btu
2021,SNICV,Special naphthas expenditures in the industrial sector,CO,Colorado,2.2,Million dollars
2021,WXICV,Waxes expenditures in the industrial sector,CO,Colorado,3.5,Million dollars
2021,OMTCB,"Other petroleum products consumption, excluding biofuels",CO,Colorado,8991,Billion Btu
2021,UOICP,Unfinished oils consumed by the industrial sector,CO,Colorado,47,Thousand barrels
2021,SOTXB,Solar energy total end-use consumption,CO,Colorado,3933,Billion Btu
2019,RECCB,Renewable energy sources consumed by the commercial sector,CO,Colorado,3542,Billion Btu
2021,PCICV,Petroleum coke expenditures in the industrial sector,CO,Colorado,0,Million dollars
2021,PCSCB,Petroleum coke total consumption adjusted for process fuel,CO,Colorado,0,Billion Btu
2021,MSICV,Miscellaneous petroleum products expenditures in the industrial sector,CO,Colorado,5.7,Million dollars
2021,OPSCB,Other petroleum products total consumption adjusted for refinery fuel and intermediate products,CO,Colorado,457,Billion Btu
2021,OPACB,Other petroleum products consumed by the transportation sector,CO,Colorado,495,Billion Btu
2020,FNICB,"Petrochemical feedstocks, naphtha less than 401? F, consumed by the industrial sector",CO,Colorado,0,Billion Btu
2020,PCCCV,Petroleum coke expenditures in the commercial sector,CO,Colorado,0,Million dollars
2021,OPTXD,"Other petroleum products average price, all end-use sectors",CO,Colorado,24.97,Dollars per million Btu
2021,WXICP,Waxes consumed by the industrial sector,CO,Colorado,20,Thousand barrels
2021,SGICP,Still gas consumed by the industrial sector,CO,Colorado,1315,Thousand barrels
2021,SNICP,Special naphthas consumed by the industrial sector,CO,Colorado,16,Thousand barrels
2021,FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401? F, consumed by the industrial sector",CO,Colorado,0,Billion Btu
2021,PQICV,Propane expenditures in the industrial sector,CO,Colorado,40.4,Million dollars
2021,OPTCV,Other petroleum products total expenditures,CO,Colorado,11.4,Million dollars
2021,SNICB,Special naphthas consumed by the industrial sector,CO,Colorado,83,Billion Btu
2021,OPTCB,Other petroleum products total consumption,CO,Colorado,9487,Billion Btu
2021,SNICD,Special naphthas price in the industrial sector,CO,Colorado,26.41,Dollars per million Btu
2021,COICB,Crude oil consumed by the industrial sector,CO,Colorado,0,Billion Btu
2020,ABICP,Aviation gasoline blending components consumed by the industrial sector,CO,Colorado,-1,Thousand barrels
2021,PEICD,Primary energy average price in the industrial sector,CO,Colorado,12.16,Dollars per million Btu
2021,PCCCV,Petroleum coke expenditures in the commercial sector,CO,Colorado,0,Million dollars
2021,FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401? F, price in the industrial sector",CO,Colorado,0,Dollars per million Btu
2021,OPTXB,Other petroleum products total end-use consumption,CO,Colorado,9487,Billion Btu
2021,UOICB,Unfinished oils consumed by the industrial sector,CO,Colorado,274,Billion Btu
2021,PCICB,Petroleum coke consumed in the industrial sector,CO,Colorado,2232,Billion Btu
2021,HLICD,Hydrocarbon gas liquids price in the industrial sector,CO,Colorado,17.47,Dollars per million Btu
2021,HLICB,Hydrocarbon gas liquids consumed by the industrial sector,CO,Colorado,2316,Billion Btu
2021,FNICP,"Petrochemical feedstocks, naphtha less than 401? F, consumed by the industrial sector",CO,Colorado,0,Thousand barrels
2021,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",CO,Colorado,0,Thousand barrels
2021,PCRFB,Petroleum coke consumed as refinery fuel,CO,Colorado,2232,Billion Btu
2021,OPTCP,Other petroleum products total consumption,CO,Colorado,1534,Thousand barrels
2021,PCTXD,"Petroleum coke average price, all end-use sectors",CO,Colorado,0,Dollars per million Btu
2021,PCTCP,Petroleum coke total consumption,CO,Colorado,355,Thousand barrels
2021,OTGBP,Other generating units net summer capacity in all sectors,CO,Colorado,9,Thousand kilowatts
2021,OPICP,Other petroleum products consumed by the industrial sector,CO,Colorado,1442,Thousand barrels
2021,PCTXP,Petroleum coke total end-use consumption,CO,Colorado,355,Thousand barrels
2019,GEGBP,Geothermal generating units net summer capacity in all sectors,CO,Colorado,0,Thousand kilowatts
2021,PQTXV,Propane total end-use expenditures,CO,Colorado,392.5,Million dollars
2021,PCEIV,Petroleum coke expenditures in the electric power sector,CO,Colorado,0,Million dollars
2021,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401? F, consumed by the industrial sector",CO,Colorado,0,Thousand barrels
2021,PCISB,Petroleum coke consumed by the industrial sector excluding refinery fuel,CO,Colorado,0,Billion Btu
2021,PCEIP,Petroleum coke consumed by the electric power sector,CO,Colorado,0,Thousand barrels
2021,PCTXV,Petroleum coke total end-use expenditures,CO,Colorado,0,Million dollars
2021,WYTCP,Wind electricity total net generation,CO,Colorado,15126,Million kilowatthours
2021,PEACV,Primary energy total expenditures in the transportation sector,CO,Colorado,10327.6,Million dollars
2021,PESCB,"Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,1186917,Billion Btu
2021,GEICB,Geothermal energy consumed by the industrial sector,CO,Colorado,266,Billion Btu
2021,PATPP,All petroleum products total consumption per capita,CO,Colorado,16.8,Barrels
2021,OPISB,Other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,CO,Colorado,457,Billion Btu
2021,OPTCD,"Other petroleum products average price, all sectors",CO,Colorado,24.97,Dollars per million Btu
2021,PETCD,"Primary energy average price, all sectors",CO,Colorado,13.37,Dollars per million Btu
2020,REICB,Renewable energy sources consumed by the industrial sector,CO,Colorado,8323,Billion Btu
2021,SOCCB,Solar energy consumed by the commercial sector,CO,Colorado,1012,Billion Btu
2021,PEISB,"Primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,147249,Billion Btu
2019,WYGBP,Wind generating units net summer capacity in all sectors,CO,Colorado,3758,Thousand kilowatts
2021,OPICV,Other petroleum products total expenditures in the industrial sector,CO,Colorado,11.4,Million dollars
2021,FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401? F, expenditures in the industrial sector",CO,Colorado,0,Million dollars
2021,PCCCB,Petroleum coke consumed by the commercial sector,CO,Colorado,0,Billion Btu
2021,MBICP,Motor gasoline blending components consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2021,WXICD,Waxes price in the industrial sector,CO,Colorado,31.26,Dollars per million Btu
2021,FNICD,"Petrochemical feedstocks, naphtha less than 401? F, price in the industrial sector",CO,Colorado,0,Dollars per million Btu
2021,PECSB,"Primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,79280,Billion Btu
2021,TETXB,Total end-use sector energy consumption,CO,Colorado,1390263,Billion Btu
2019,NGGBP,Natural gas generating units net summer capacity in all sectors,CO,Colorado,6427,Thousand kilowatts
2021,HLRCD,Hydrocarbon gas liquids price in the residential sector,CO,Colorado,23.98,Dollars per million Btu
2021,IQTCB,Isobutane total consumption,CO,Colorado,0,Billion Btu
2021,ESRPP,Electricity consumed by (sales to ultimate customers in) the residential sector per capita,CO,Colorado,3549,Kilowatthours
2021,IYTCP,Isobutylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2021,HLICK,Average factor for converting hydrocarbon gas liquids consumed by the industrial sector from physical unit to Btu,CO,Colorado,3.841,Million Btu per barrel
2021,HLTXV,Hydrocarbon gas liquids total end-use expenditures,CO,Colorado,392.5,Million dollars
2021,TERCV,Total energy expenditures in the residential sector,CO,Colorado,4254.1,Million dollars
2021,PQACB,Propane consumed by the transportation sector,CO,Colorado,229,Billion Btu
2021,IQICP,Isobutane consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2021,HLICP,Hydrocarbon gas liquids consumed by the industrial sector,CO,Colorado,603,Thousand barrels
2021,OHICV,Other hydrocarbon gas liquids (other than propane) expenditures in the industrial sector,CO,Colorado,0,Million dollars
2021,HLRCV,Hydrocarbon gas liquids expenditures in the residential sector,CO,Colorado,283.1,Million dollars
2021,GETXB,Geothermal energy total end-use consumption,CO,Colorado,759,Billion Btu
2021,PQICD,Propane price in the industrial sector,CO,Colorado,17.47,Dollars per million Btu
2021,HLACB,Hydrocarbon gas liquids consumed by the transportation sector,CO,Colorado,229,Billion Btu
2021,HLACV,Hydrocarbon gas liquids expenditures in the transportation sector,CO,Colorado,5.1,Million dollars
2021,HLTCD,"Hydrocarbon gas liquids average price, all sectors",CO,Colorado,21.95,Dollars per million Btu
2021,PQRCV,Propane expenditures in the residential sector,CO,Colorado,283.1,Million dollars
2021,PQACD,Propane price in the transportation sector,CO,Colorado,22.24,Dollars per million Btu
2021,BQICB,Normal butane consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,PETXD,"Primary energy average price, all end-use sectors",CO,Colorado,17.94,Dollars per million Btu
2020,BFPRB,"Biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products",CO,Colorado,18248,Billion Btu
2021,HLTCB,Hydrocarbon gas liquids total consumption,CO,Colorado,17884,Billion Btu
2021,BYTCP,Butylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2021,EQTCB,Ethane total consumption,CO,Colorado,0,Billion Btu
2020,WYGBP,Wind generating units net summer capacity in all sectors,CO,Colorado,4711,Thousand kilowatts
2020,B1PRP,Renewable diesel production,CO,Colorado,0,Thousand barrels
2021,EYTCP,Ethylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2019,BFPRB,"Biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products",CO,Colorado,18725,Billion Btu
2021,PQCCP,Propane consumed by the commercial sector,CO,Colorado,920,Thousand barrels
2021,PQSCB,Propane total consumption adjusted for process fuel,CO,Colorado,17884,Billion Btu
2021,REGBP,Renewable energy total generating units net summer capacity in all sectors,CO,Colorado,6771,Thousand kilowatts
2021,ELGBP,Total (all fuels) electric generating units net summer capacity in all sectors,CO,Colorado,18296,Thousand kilowatts
2021,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,CO,Colorado,581,Thousand kilowatts
2021,HLSCB,Hydrocarbon gas liquids total consumption adjusted for processed fuel,CO,Colorado,17884,Billion Btu
2021,EQICP,Ethane consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2021,PQRFB,Propane consumed as refinery fuel,CO,Colorado,0,Billion Btu
2021,PQCCD,Propane price in the commercial sector,CO,Colorado,18.07,Dollars per million Btu
2021,PPTCP,Natural gasoline (pentanes plus) total consumption,CO,Colorado,0,Thousand barrels
2021,WYCCP,Wind electricity net generation in the commercial sector,CO,Colorado,0,Million kilowatthours
2021,PQTCB,Propane total consumption,CO,Colorado,17884,Billion Btu
2021,HLRCB,Hydrocarbon gas liquids consumed by the residential sector,CO,Colorado,11804,Billion Btu
2021,USICP,Unfractionated streams consumed by the industrial sector (through 1983),CO,Colorado,0,Thousand barrels
2021,HLRFB,Hydrocarbon gas liquids consumed as refinery fuel and intermediate products,CO,Colorado,0,Billion Btu
2021,HLCCP,Hydrocarbon gas liquids consumed by the commercial sector,CO,Colorado,920,Thousand barrels
2021,PYTCP,Propylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2021,TETXD,Total end-use energy average price,CO,Colorado,20.63,Dollars per million Btu
2021,ENPRP,"Fuel ethanol production, including denaturant",CO,Colorado,3382,Thousand barrels
2021,PYICB,Propylene from refineries consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,IQTCP,Isobutane total consumption,CO,Colorado,0,Thousand barrels
2021,USICB,Unfractionated streams consumed by the industrial sector (through 1983),CO,Colorado,0,Billion Btu
2019,B1PRB,Renewable diesel production,CO,Colorado,0,Billion Btu
2021,HLTCP,Hydrocarbon gas liquids total consumption,CO,Colorado,4656,Thousand barrels
2021,EYICB,Ethylene from refineries consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,OPACP,Other petroleum products consumed by the transportation sector,CO,Colorado,92,Thousand barrels
2021,PCCCD,Petroleum coke price in the commercial sector,CO,Colorado,0,Dollars per million Btu
2019,PLICP,Plant condensate consumed by the industrial sector (through 1983),CO,Colorado,0,Thousand barrels
2019,HLISB,Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,CO,Colorado,2613,Billion Btu
2019,HLICP,Hydrocarbon gas liquids consumed by the industrial sector,CO,Colorado,695,Thousand barrels
2019,HLICV,Hydrocarbon gas liquids expenditures in the industrial sector,CO,Colorado,29.6,Million dollars
2019,NAICB,Natural gasoline consumed by the industrial sector (through 1983),CO,Colorado,0,Billion Btu
2020,OPACP,Other petroleum products consumed by the transportation sector,CO,Colorado,0,Thousand barrels
2019,PQRCD,Propane price in the residential sector,CO,Colorado,20.92,Dollars per million Btu
2019,PYTCB,Propylene from refineries total consumption,CO,Colorado,0,Billion Btu
2019,HLCCD,Hydrocarbon gas liquids price in the commercial sector,CO,Colorado,11.91,Dollars per million Btu
2019,PQICV,Propane expenditures in the industrial sector,CO,Colorado,29.6,Million dollars
2021,ARTXB,Asphalt and road oil total end-use consumption,CO,Colorado,18944,Billion Btu
2021,ARTCP,Asphalt and road oil total consumption,CO,Colorado,2855,Thousand barrels
2021,ARTXV,Asphalt and road oil total end-use expenditures,CO,Colorado,315.1,Million dollars
2021,ARTCD,"Asphalt and road oil average price, all sectors",CO,Colorado,16.63,Dollars per million Btu
2019,DFASB,Distillate fuel oil consumed by the transportation sector including biofuels product supplied,CO,Colorado,89794,Billion Btu
2020,BFSUB,Biofuels product supplied consumed with distillate fuel oil by the transportation sector,CO,Colorado,0,Billion Btu
2019,PQCCD,Propane price in the commercial sector,CO,Colorado,11.91,Dollars per million Btu
2019,IQTCP,Isobutane total consumption,CO,Colorado,0,Thousand barrels
2019,PPTCP,Natural gasoline (pentanes plus) total consumption,CO,Colorado,0,Thousand barrels
2019,PPICB,Natural gasoline (pentanes plus) consumed by the industrial sector,CO,Colorado,0,Billion Btu
2019,IYICB,Isobutylene from refineries consumed by the industrial sector,CO,Colorado,0,Billion Btu
2019,HLACD,Hydrocarbon gas liquids price in the transportation sector,CO,Colorado,14.36,Dollars per million Btu
2019,PQICP,Propane consumed by the industrial sector,CO,Colorado,695,Thousand barrels
2019,USICP,Unfractionated streams consumed by the industrial sector (through 1983),CO,Colorado,0,Thousand barrels
2021,ARTXD,"Asphalt and road oil average price, all end-use sectors",CO,Colorado,16.63,Dollars per million Btu
2021,MSICP,Miscellaneous petroleum products consumed by the industrial sector,CO,Colorado,45,Thousand barrels
2021,PCTCB,Petroleum coke total consumption,CO,Colorado,2232,Billion Btu
2021,PCEID,Petroleum coke price in the electric power sector,CO,Colorado,0,Dollars per million Btu
2021,BDACB,Biodiesel consumed by the transportation sector,CO,Colorado,860,Billion Btu
2019,PQTXB,Propane total end-use consumption,CO,Colorado,19681,Billion Btu
2019,HLTXD,"Hydrocarbon gas liquids average price, all end-use sectors",CO,Colorado,17.92,Dollars per million Btu
2021,ARICV,Asphalt and road oil expenditures in the industrial sector,CO,Colorado,315.1,Million dollars
2019,IYTCP,Isobutylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2019,HLTCB,Hydrocarbon gas liquids total consumption,CO,Colorado,19681,Billion Btu
2019,HLRFB,Hydrocarbon gas liquids consumed as refinery fuel and intermediate products,CO,Colorado,58,Billion Btu
2019,IQTCB,Isobutane total consumption,CO,Colorado,0,Billion Btu
2019,BQICB,Normal butane consumed by the industrial sector,CO,Colorado,0,Billion Btu
2020,OMTCB,"Other petroleum products consumption, excluding biofuels",CO,Colorado,9571,Billion Btu
2019,BYTCP,Butylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2019,PQCCV,Propane expenditures in the commercial sector,CO,Colorado,42.7,Million dollars
2021,MBICB,Motor gasoline blending components consumed by the industrial sector,CO,Colorado,0,Billion Btu
2021,FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",CO,Colorado,0,Billion Btu
2021,PCEIB,Petroleum coke consumed by the electric power sector,CO,Colorado,0,Billion Btu
2021,PCICP,Petroleum coke consumed in the industrial sector,CO,Colorado,355,Thousand barrels
2021,ARTCB,Asphalt and road oil total consumption,CO,Colorado,18944,Billion Btu
2021,ARICB,Asphalt and road oil consumed by the industrial sector,CO,Colorado,18944,Billion Btu
2019,HLICK,Average factor for converting hydrocarbon gas liquids consumed by the industrial sector from physical unit to Btu,CO,Colorado,3.841,Million Btu per barrel
2019,IYTCB,Isobutylene from refineries total consumption,CO,Colorado,0,Billion Btu
2019,HLTXP,Hydrocarbon gas liquids total end-use consumption,CO,Colorado,5124,Thousand barrels
2019,PYTCP,Propylene from refineries total consumption,CO,Colorado,0,Thousand barrels
2019,PLICB,Plant condensate consumed by the industrial sector (through 1983),CO,Colorado,0,Billion Btu
2019,OMTCB,"Other petroleum products consumption, excluding biofuels",CO,Colorado,9637,Billion Btu
2020,PCEIB,Petroleum coke consumed by the electric power sector,CO,Colorado,0,Billion Btu
2019,NUEGB,Nuclear energy consumed for electricity generation by the electric power sector,CO,Colorado,0,Billion Btu
2019,NUEGV,Nuclear fuel expenditures in the electric power sector,CO,Colorado,0,Million dollars
2019,B1TCB,Renewable diesel total consumption,CO,Colorado,0,Billion Btu
2019,HLCCB,Hydrocarbon gas liquids consumed by the commercial sector,CO,Colorado,3584,Billion Btu
2019,PQTCB,Propane total consumption,CO,Colorado,19681,Billion Btu
2019,PQRCV,Propane expenditures in the residential sector,CO,Colorado,275.9,Million dollars
2019,HLCCV,Hydrocarbon gas liquids expenditures in the commercial sector,CO,Colorado,42.7,Million dollars
2021,DMTCB,"Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption",CO,Colorado,124528,Billion Btu
2019,HLICD,Hydrocarbon gas liquids price in the industrial sector,CO,Colorado,11.35,Dollars per million Btu
2019,WDPRB,Wood energy production,CO,Colorado,16972,Billion Btu
2019,NUEGP,Nuclear electricity net generation in the electric power sector,CO,Colorado,0,Million kilowatthours
2019,NUEGD,Nuclear fuel price in the electric power sector,CO,Colorado,0,Dollars per million Btu
